state,district,year,month,rain
AndhraPradesh,Adilabad,2012,July,261.8
AndhraPradesh,Adilabad,2012,August,363.6
AndhraPradesh,Adilabad,2012,September,336
AndhraPradesh,Adilabad,2012,October,35.3
AndhraPradesh,Adilabad,2012,November,34.3
AndhraPradesh,Adilabad,2012,December,0
AndhraPradesh,Adilabad,2013,January,0
AndhraPradesh,Adilabad,2013,February,0
AndhraPradesh,Adilabad,2013,March,0.8
AndhraPradesh,Adilabad,2013,April,22.1
AndhraPradesh,Adilabad,2013,May,4.3
AndhraPradesh,Adilabad,2013,June,141.9
AndhraPradesh,Adilabad,2013,July,109.6
AndhraPradesh,Adilabad,2013,August,219.2
AndhraPradesh,Adilabad,2013,September,259.2
AndhraPradesh,Adilabad,2013,October,31.5
AndhraPradesh,Adilabad,2013,November,7.9
AndhraPradesh,Adilabad,2013,December,0
AndhraPradesh,Adilabad,2014,January,0
AndhraPradesh,Adilabad,2014,February,1.9
AndhraPradesh,Adilabad,2014,March,60.5
AndhraPradesh,Adilabad,2014,April,5.5
AndhraPradesh,Adilabad,2014,May,0
AndhraPradesh,Adilabad,2014,June,144.1
AndhraPradesh,Adilabad,2014,July,207.1
AndhraPradesh,Adilabad,2014,August,357.7
AndhraPradesh,Adilabad,2014,September,129
AndhraPradesh,Adilabad,2014,October,10.7
AndhraPradesh,Adilabad,2014,November,0.3
AndhraPradesh,Adilabad,2014,December,0
AndhraPradesh,Adilabad,2015,January,15.5
AndhraPradesh,Adilabad,2015,February,0
AndhraPradesh,Adilabad,2015,March,3.9
AndhraPradesh,Adilabad,2015,April,0
AndhraPradesh,Adilabad,2015,May,23.8
AndhraPradesh,Adilabad,2015,June,105
AndhraPradesh,Adilabad,2015,July,185.4
AndhraPradesh,Adilabad,2015,August,188.1
AndhraPradesh,Adilabad,2015,September,115.9
AndhraPradesh,Adilabad,2015,October,59.4
AndhraPradesh,Adilabad,2015,November,22.7
AndhraPradesh,Adilabad,2015,December,0.6
AndhraPradesh,Adilabad,2016,January,5.2
AndhraPradesh,Adilabad,2016,February,10
AndhraPradesh,Adilabad,2016,March,0.7
AndhraPradesh,Adilabad,2016,April,3.6
AndhraPradesh,Adilabad,2016,May,8.8
AndhraPradesh,Adilabad,2016,June,98.2
AndhraPradesh,Adilabad,2016,July,408
AndhraPradesh,Adilabad,2016,August,421.6
AndhraPradesh,Adilabad,2016,September,298.8
AndhraPradesh,Adilabad,2016,October,110.3
